id,labels,properties
0,['Article'],"{'category': 'technology and computing', 'createdAt': '2024-11-15T12:53:33.505Z', 'url': 'https://www.thehindu.com/sci-tech/technology/googles-ai-chatbot-gemini-verbally-abused-user-told-them-to-die-report/article68871570.ece'}"
1,['Category'],{'name': 'technology and computing'}
2,['Tag'],{'name': 'gemini responded user'}
3,['Article'],"{'category': 'academic interests', 'createdAt': '2024-11-15T12:53:36.339Z', 'url': 'https://www.thehindu.com/news/cities/bangalore/social-media-for-children-to-ban-or-not-to-ban/article68859382.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=1&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
4,['Category'],{'name': 'academic interests'}
5,['Tag'],{'name': 'Instagram'}
6,['Tag'],{'name': 'Anitha M. Kalibhat'}
7,['Tag'],{'name': 'K. John Vijay Sagar'}
8,['Tag'],{'name': 'Sagar'}
9,['Tag'],{'name': 'Nirupama G.'}
10,['Tag'],{'name': 'Bengaluru'}
11,['Tag'],{'name': 'School Coordinator'}
12,['Tag'],{'name': 'Alpine Public School'}
13,['Tag'],{'name': 'Vasudeva Sharma N.V.'}
14,['Tag'],{'name': 'Child Rights Trust'}
15,['Tag'],{'name': 'India'}
16,['Tag'],{'name': 'social media children'}
17,['Tag'],{'name': 'social media parents'}
18,['User'],{'id': 'user123'}
19,['Tag'],{'name': 'excessive social media'}
20,['Tag'],{'name': 'social media use'}
21,['Tag'],{'name': 'social media early'}
22,['Tag'],{'name': 'social media risks'}
23,['Tag'],{'name': 'usage social media'}
24,['Tag'],{'name': 'adolescents turn social'}
25,['Tag'],{'name': 'excessive use adolescents'}
26,['Tag'],{'name': 'ban social media'}
27,['Article'],"{'category': 'arts and culture', 'createdAt': '2024-11-15T12:53:38.991Z', 'url': 'https://www.thehindu.com/entertainment/art/hyderabad-all-set-to-host-indian-photo-festival-2024/article68862868.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=3&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
28,['Category'],{'name': 'arts and culture'}
29,['Tag'],{'name': 'Aquin Mathews'}
30,['Tag'],{'name': 'Smita Sharma’s'}
31,['Tag'],{'name': 'Aquin'}
32,['Tag'],{'name': 'Chris Rainier'}
33,['Tag'],{'name': 'Rainier'}
34,['Tag'],{'name': 'Chris Rainier’s'}
35,['Tag'],{'name': 'Debalina Mazumder'}
36,['Tag'],{'name': 'Manobina Roy'}
37,['Tag'],{'name': 'Telangana Jishnu Dev Varma’s'}
38,['Tag'],{'name': 'Chandra Manikya'}
39,['Tag'],{'name': 'Andhra Pradesh'}
40,['Tag'],{'name': 'Google'}
41,['Tag'],{'name': 'Rajesh Vallepu'}
42,['Tag'],{'name': 'Peerla Panduga'}
43,['Tag'],{'name': 'Muharram'}
44,['Tag'],{'name': 'Bhumika Saraswati’s'}
45,['Tag'],{'name': 'Clara Watt’s'}
46,['Tag'],{'name': 'Silent Screams'}
47,['Tag'],{'name': 'Nicole Tung'}
48,['Tag'],{'name': 'Matt Black'}
49,['Tag'],{'name': 'Zentrum'}
50,['Tag'],{'name': 'Indian Photo Festival'}
51,['Tag'],{'name': 'Hyderabad'}
52,['Tag'],{'name': 'The Indian Photo Festival'}
53,['Tag'],{'name': 'IPF'}
54,['Tag'],{'name': 'National Geographic'}
55,['Tag'],{'name': 'Australia'}
56,['Tag'],{'name': 'Strictly Prohibited'}
57,['Tag'],{'name': 'Maharaja Bir'}
58,['Tag'],{'name': 'Tripura'}
59,['Tag'],{'name': 'Lala Deen Dayal'}
60,['Tag'],{'name': 'Maharaja'}
61,['Tag'],{'name': 'Telangana'}
62,['Tag'],{'name': 'Amazon'}
63,['Tag'],{'name': 'Ghana'}
64,['Tag'],{'name': 'The Promotion of Proper Human Sexual Rights and Family Values'}
65,['Tag'],{'name': 'Odisha'}
66,['Tag'],{'name': 'Indian Photo Festival 2024'}
67,['Tag'],{'name': 'State Gallery of Art'}
68,['Tag'],{'name': 'photography festival india'}
69,['Tag'],{'name': 'photo festival ipf'}
70,['Tag'],{'name': 'indian photo festival'}
71,['Tag'],{'name': 'photographers india'}
72,['Tag'],{'name': 'pradesh emerging photographer'}
73,['Tag'],{'name': 'exhibitions check indianphotofest'}
74,['Tag'],{'name': 'exhibition photography strictly'}
75,['Tag'],{'name': 'exhibition photography'}
76,['Tag'],{'name': 'masterclasses indian photo'}
77,['Tag'],{'name': 'photography art'}
