source,target,type
0,1,BELONGS_TO
18,0,READ
0,40,HAS_TAG
0,89,HAS_TAG
0,128,HAS_TAG
0,150,HAS_TAG
0,171,HAS_TAG
0,205,HAS_TAG
0,228,HAS_TAG
0,246,HAS_TAG
0,275,HAS_TAG
0,336,HAS_TAG
0,365,HAS_TAG
0,403,HAS_TAG
0,435,HAS_TAG
0,468,HAS_TAG
0,507,HAS_TAG
0,2,HAS_TAG
3,4,BELONGS_TO
18,3,READ
3,5,HAS_TAG
3,6,HAS_TAG
3,7,HAS_TAG
3,8,HAS_TAG
3,9,HAS_TAG
3,10,HAS_TAG
3,11,HAS_TAG
3,12,HAS_TAG
3,13,HAS_TAG
3,14,HAS_TAG
3,15,HAS_TAG
3,16,HAS_TAG
3,17,HAS_TAG
3,19,HAS_TAG
3,20,HAS_TAG
3,21,HAS_TAG
3,22,HAS_TAG
3,23,HAS_TAG
3,24,HAS_TAG
3,25,HAS_TAG
3,26,HAS_TAG
27,28,BELONGS_TO
18,27,READ
27,29,HAS_TAG
27,30,HAS_TAG
27,31,HAS_TAG
27,32,HAS_TAG
27,33,HAS_TAG
27,34,HAS_TAG
27,35,HAS_TAG
27,36,HAS_TAG
27,37,HAS_TAG
27,38,HAS_TAG
27,39,HAS_TAG
27,41,HAS_TAG
27,42,HAS_TAG
27,43,HAS_TAG
27,44,HAS_TAG
27,45,HAS_TAG
27,46,HAS_TAG
27,47,HAS_TAG
27,48,HAS_TAG
27,49,HAS_TAG
27,50,HAS_TAG
27,51,HAS_TAG
27,52,HAS_TAG
27,53,HAS_TAG
27,54,HAS_TAG
27,55,HAS_TAG
27,15,HAS_TAG
27,56,HAS_TAG
27,57,HAS_TAG
27,58,HAS_TAG
27,59,HAS_TAG
27,60,HAS_TAG
27,61,HAS_TAG
27,62,HAS_TAG
27,63,HAS_TAG
27,64,HAS_TAG
27,65,HAS_TAG
27,66,HAS_TAG
27,67,HAS_TAG
27,68,HAS_TAG
27,69,HAS_TAG
27,70,HAS_TAG
27,71,HAS_TAG
27,72,HAS_TAG
27,73,HAS_TAG
27,74,HAS_TAG
27,75,HAS_TAG
27,76,HAS_TAG
27,77,HAS_TAG
78,79,BELONGS_TO
18,78,READ
78,80,HAS_TAG
78,81,HAS_TAG
78,82,HAS_TAG
78,83,HAS_TAG
78,84,HAS_TAG
78,85,HAS_TAG
78,86,HAS_TAG
78,87,HAS_TAG
78,88,HAS_TAG
78,15,HAS_TAG
78,128,HAS_TAG
78,90,HAS_TAG
78,91,HAS_TAG
78,92,HAS_TAG
78,93,HAS_TAG
78,94,HAS_TAG
78,95,HAS_TAG
78,96,HAS_TAG
78,97,HAS_TAG
78,98,HAS_TAG
78,99,HAS_TAG
78,100,HAS_TAG
78,101,HAS_TAG
78,102,HAS_TAG
78,103,HAS_TAG
78,104,HAS_TAG
78,105,HAS_TAG
78,106,HAS_TAG
78,107,HAS_TAG
78,108,HAS_TAG
78,109,HAS_TAG
78,110,HAS_TAG
78,111,HAS_TAG
78,112,HAS_TAG
78,113,HAS_TAG
78,114,HAS_TAG
78,115,HAS_TAG
78,116,HAS_TAG
78,117,HAS_TAG
78,118,HAS_TAG
119,120,BELONGS_TO
18,119,READ
119,121,HAS_TAG
119,122,HAS_TAG
119,123,HAS_TAG
119,124,HAS_TAG
119,125,HAS_TAG
119,126,HAS_TAG
119,127,HAS_TAG
119,129,HAS_TAG
119,128,HAS_TAG
119,80,HAS_TAG
119,92,HAS_TAG
119,15,HAS_TAG
119,99,HAS_TAG
119,130,HAS_TAG
119,131,HAS_TAG
119,132,HAS_TAG
119,133,HAS_TAG
119,134,HAS_TAG
119,135,HAS_TAG
119,136,HAS_TAG
119,137,HAS_TAG
119,138,HAS_TAG
119,139,HAS_TAG
119,140,HAS_TAG
119,141,HAS_TAG
119,142,HAS_TAG
143,144,BELONGS_TO
18,143,READ
143,145,HAS_TAG
143,146,HAS_TAG
143,147,HAS_TAG
143,124,HAS_TAG
143,128,HAS_TAG
143,130,HAS_TAG
143,148,HAS_TAG
143,149,HAS_TAG
143,15,HAS_TAG
143,151,HAS_TAG
143,152,HAS_TAG
143,153,HAS_TAG
143,154,HAS_TAG
143,155,HAS_TAG
143,156,HAS_TAG
143,157,HAS_TAG
143,158,HAS_TAG
143,159,HAS_TAG
143,160,HAS_TAG
143,161,HAS_TAG
143,162,HAS_TAG
143,163,HAS_TAG
143,164,HAS_TAG
143,165,HAS_TAG
166,79,BELONGS_TO
18,166,READ
166,167,HAS_TAG
166,103,HAS_TAG
166,81,HAS_TAG
166,85,HAS_TAG
166,80,HAS_TAG
166,168,HAS_TAG
166,169,HAS_TAG
166,86,HAS_TAG
166,170,HAS_TAG
166,172,HAS_TAG
166,173,HAS_TAG
166,174,HAS_TAG
166,175,HAS_TAG
166,128,HAS_TAG
166,176,HAS_TAG
166,177,HAS_TAG
166,178,HAS_TAG
166,179,HAS_TAG
166,180,HAS_TAG
166,181,HAS_TAG
166,182,HAS_TAG
166,183,HAS_TAG
166,184,HAS_TAG
166,185,HAS_TAG
166,99,HAS_TAG
166,186,HAS_TAG
166,187,HAS_TAG
166,188,HAS_TAG
166,189,HAS_TAG
166,190,HAS_TAG
166,191,HAS_TAG
166,192,HAS_TAG
166,193,HAS_TAG
166,194,HAS_TAG
166,195,HAS_TAG
166,196,HAS_TAG
166,197,HAS_TAG
166,198,HAS_TAG
166,199,HAS_TAG
166,200,HAS_TAG
201,120,BELONGS_TO
18,201,READ
201,202,HAS_TAG
201,203,HAS_TAG
201,204,HAS_TAG
201,206,HAS_TAG
201,207,HAS_TAG
201,128,HAS_TAG
201,208,HAS_TAG
201,209,HAS_TAG
201,210,HAS_TAG
201,211,HAS_TAG
201,212,HAS_TAG
201,190,HAS_TAG
201,213,HAS_TAG
201,214,HAS_TAG
201,215,HAS_TAG
201,216,HAS_TAG
201,217,HAS_TAG
201,218,HAS_TAG
201,219,HAS_TAG
201,220,HAS_TAG
201,221,HAS_TAG
201,222,HAS_TAG
201,223,HAS_TAG
201,224,HAS_TAG
225,226,BELONGS_TO
18,225,READ
225,227,HAS_TAG
225,229,HAS_TAG
225,230,HAS_TAG
225,231,HAS_TAG
225,232,HAS_TAG
225,233,HAS_TAG
225,234,HAS_TAG
225,235,HAS_TAG
225,236,HAS_TAG
225,237,HAS_TAG
225,238,HAS_TAG
225,239,HAS_TAG
225,240,HAS_TAG
225,241,HAS_TAG
225,242,HAS_TAG
225,243,HAS_TAG
225,244,HAS_TAG
245,247,BELONGS_TO
18,245,READ
245,248,HAS_TAG
245,249,HAS_TAG
245,250,HAS_TAG
245,251,HAS_TAG
245,252,HAS_TAG
245,253,HAS_TAG
245,254,HAS_TAG
245,255,HAS_TAG
245,256,HAS_TAG
245,257,HAS_TAG
245,258,HAS_TAG
245,259,HAS_TAG
245,260,HAS_TAG
245,261,HAS_TAG
245,262,HAS_TAG
245,263,HAS_TAG
245,190,HAS_TAG
245,264,HAS_TAG
245,265,HAS_TAG
245,266,HAS_TAG
245,267,HAS_TAG
245,268,HAS_TAG
245,269,HAS_TAG
245,270,HAS_TAG
245,271,HAS_TAG
245,272,HAS_TAG
245,273,HAS_TAG
245,274,HAS_TAG
245,276,HAS_TAG
277,4,BELONGS_TO
18,277,READ
277,278,HAS_TAG
277,279,HAS_TAG
277,280,HAS_TAG
277,281,HAS_TAG
277,282,HAS_TAG
277,283,HAS_TAG
277,284,HAS_TAG
277,285,HAS_TAG
277,286,HAS_TAG
277,287,HAS_TAG
277,288,HAS_TAG
277,289,HAS_TAG
277,290,HAS_TAG
277,291,HAS_TAG
277,292,HAS_TAG
277,293,HAS_TAG
277,294,HAS_TAG
277,295,HAS_TAG
277,296,HAS_TAG
277,297,HAS_TAG
277,298,HAS_TAG
277,299,HAS_TAG
277,300,HAS_TAG
277,301,HAS_TAG
277,302,HAS_TAG
277,303,HAS_TAG
277,304,HAS_TAG
277,305,HAS_TAG
277,306,HAS_TAG
277,307,HAS_TAG
277,308,HAS_TAG
277,309,HAS_TAG
277,310,HAS_TAG
277,311,HAS_TAG
277,312,HAS_TAG
277,313,HAS_TAG
277,314,HAS_TAG
277,315,HAS_TAG
277,316,HAS_TAG
277,317,HAS_TAG
277,318,HAS_TAG
277,319,HAS_TAG
277,320,HAS_TAG
277,321,HAS_TAG
277,322,HAS_TAG
277,323,HAS_TAG
277,260,HAS_TAG
277,324,HAS_TAG
277,325,HAS_TAG
277,10,HAS_TAG
277,326,HAS_TAG
277,327,HAS_TAG
277,328,HAS_TAG
277,329,HAS_TAG
277,330,HAS_TAG
277,331,HAS_TAG
277,332,HAS_TAG
277,333,HAS_TAG
277,334,HAS_TAG
277,335,HAS_TAG
277,337,HAS_TAG
277,338,HAS_TAG
339,340,BELONGS_TO
18,339,READ
339,341,HAS_TAG
339,342,HAS_TAG
339,343,HAS_TAG
339,344,HAS_TAG
339,345,HAS_TAG
339,346,HAS_TAG
339,347,HAS_TAG
339,348,HAS_TAG
339,349,HAS_TAG
339,350,HAS_TAG
339,351,HAS_TAG
339,352,HAS_TAG
339,353,HAS_TAG
339,354,HAS_TAG
339,355,HAS_TAG
339,356,HAS_TAG
339,357,HAS_TAG
339,358,HAS_TAG
339,359,HAS_TAG
339,360,HAS_TAG
339,361,HAS_TAG
339,362,HAS_TAG
339,363,HAS_TAG
339,364,HAS_TAG
339,366,HAS_TAG
339,367,HAS_TAG
339,368,HAS_TAG
339,369,HAS_TAG
370,79,BELONGS_TO
18,370,READ
370,371,HAS_TAG
370,372,HAS_TAG
370,373,HAS_TAG
370,374,HAS_TAG
370,375,HAS_TAG
370,376,HAS_TAG
370,248,HAS_TAG
370,249,HAS_TAG
370,377,HAS_TAG
370,378,HAS_TAG
370,379,HAS_TAG
370,380,HAS_TAG
370,381,HAS_TAG
370,382,HAS_TAG
370,383,HAS_TAG
370,384,HAS_TAG
370,15,HAS_TAG
370,385,HAS_TAG
370,386,HAS_TAG
370,387,HAS_TAG
370,388,HAS_TAG
370,389,HAS_TAG
370,390,HAS_TAG
370,391,HAS_TAG
370,257,HAS_TAG
370,392,HAS_TAG
370,393,HAS_TAG
370,394,HAS_TAG
370,395,HAS_TAG
370,396,HAS_TAG
370,397,HAS_TAG
370,398,HAS_TAG
370,399,HAS_TAG
370,400,HAS_TAG
370,401,HAS_TAG
370,402,HAS_TAG
370,404,HAS_TAG
370,405,HAS_TAG
370,406,HAS_TAG
370,407,HAS_TAG
370,408,HAS_TAG
409,1,BELONGS_TO
18,409,READ
409,410,HAS_TAG
409,411,HAS_TAG
409,412,HAS_TAG
409,413,HAS_TAG
409,414,HAS_TAG
409,415,HAS_TAG
409,416,HAS_TAG
409,417,HAS_TAG
409,418,HAS_TAG
409,419,HAS_TAG
409,420,HAS_TAG
409,421,HAS_TAG
409,422,HAS_TAG
409,423,HAS_TAG
409,424,HAS_TAG
409,425,HAS_TAG
409,426,HAS_TAG
409,427,HAS_TAG
409,428,HAS_TAG
409,429,HAS_TAG
409,430,HAS_TAG
409,15,HAS_TAG
409,431,HAS_TAG
409,432,HAS_TAG
409,433,HAS_TAG
409,434,HAS_TAG
409,436,HAS_TAG
409,437,HAS_TAG
409,438,HAS_TAG
409,439,HAS_TAG
409,440,HAS_TAG
409,441,HAS_TAG
442,226,BELONGS_TO
18,442,READ
442,443,HAS_TAG
442,444,HAS_TAG
442,445,HAS_TAG
442,446,HAS_TAG
442,447,HAS_TAG
